,Action,Amount,Price,TValue,Intent
0000-00-00 00:00:00-00:00,NA,0,0,0,NA
2021-11-02 09:30:00-04:00,sell,1000,2.2820000648498535,2282.0000648498535,SHORT
2021-11-02 09:33:00-04:00,buy,1000,2.2840333779652915,2284.0333779652915,CLOSE_SHORT
2021-11-02 09:40:00-04:00,sell,1000,2.2799999713897705,2279.9999713897705,SHORT
2021-11-02 09:58:00-04:00,buy,1000,2.279600041253226,2279.600041253226,CLOSE_SHORT
2021-11-02 10:06:00-04:00,buy,1000,2.299999952316284,2299.999952316284,LONG
2021-11-02 11:13:00-04:00,sell,1000,2.3167532761891683,2316.7532761891684,CLOSE_LONG
2021-11-02 11:47:00-04:00,buy,1000,2.3299999237060547,2329.9999237060547,LONG
2021-11-02 12:26:00-04:00,sell,1000,2.330746587117513,2330.7465871175127,CLOSE_LONG
2021-11-02 12:50:00-04:00,sell,1000,2.300100088119507,2300.100088119507,SHORT
2021-11-02 15:05:00-04:00,buy,1000,2.329486592610677,2329.4865926106772,CLOSE_SHORT
2021-11-02 15:06:00-04:00,buy,1000,2.3499999046325684,2349.9999046325684,LONG
