,Action,Amount,Price,TValue,Intent
0000-00-00 00:00:00-00:00,NA,0,0,0,NA
2021-11-04 09:30:00-04:00,sell,1000,2.359999895095825,2359.999895095825,SHORT
2021-11-04 09:57:00-04:00,buy,1000,2.3586499094963074,2358.6499094963074,CLOSE_SHORT
2021-11-04 10:23:00-04:00,buy,1000,2.359999895095825,2359.999895095825,LONG
2021-11-04 11:26:00-04:00,sell,1000,2.360657044819423,2360.657044819423,CLOSE_LONG
2021-11-04 11:27:00-04:00,sell,1000,2.3499999046325684,2349.9999046325684,SHORT
2021-11-04 13:06:00-04:00,buy,1000,2.3093599478403726,2309.3599478403726,CLOSE_SHORT
2021-11-04 13:14:00-04:00,buy,1000,2.380000114440918,2380.000114440918,LONG
2021-11-04 15:00:00-04:00,sell,1000,2.327559979756673,2327.559979756673,CLOSE_LONG
