,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,9385.024633818573
2021-11-10 09:30:00-05:00,,sell,724.0,12.960000038146973,9383.040027618408,SHORT,18768.064661436983
2021-11-10 09:59:00-05:00,,buy,724.0,12.942999839782715,9370.731884002686,CLOSE_SHORT,9397.332777434298
2021-11-10 10:04:00-05:00,,buy,722.0,13.0,9386.0,LONG,11.332777434297896
2021-11-10 10:49:00-05:00,,sell,722.0,12.953799819946289,9352.64347000122,CLOSE_LONG,9363.976247435518
2021-11-10 11:18:00-05:00,,sell,725.0,12.90999984741211,9359.74988937378,SHORT,18723.726136809295
2021-11-10 13:32:00-05:00,,buy,725.0,12.846000035603842,9313.350025812786,CLOSE_SHORT,9410.376110996509
2021-11-10 13:36:00-05:00,,sell,734.0,12.819999694824219,9409.879776000977,SHORT,18820.255886997486
2021-11-10 14:30:00-05:00,,buy,734.0,12.830333455403645,9417.464756266276,CLOSE_SHORT,9402.79113073121
2021-11-10 14:31:00-05:00,,sell,734.0,12.800000190734863,9395.20013999939,SHORT,18797.9912707306
2021-11-10 14:43:00-05:00,,buy,734.0,12.810000228881837,9402.540167999268,CLOSE_SHORT,9395.451102731331
2021-11-10 14:44:00-05:00,,buy,726.0,12.930000305175781,9387.180221557617,LONG,8.27088117371386
2021-11-10 14:48:00-05:00,,sell,726.0,12.814000193277995,9302.964140319824,CLOSE_LONG,9311.235021493538
2021-11-10 14:51:00-05:00,,sell,732.0,12.710000038146973,9303.720027923584,SHORT,18614.95504941712
2021-11-10 15:00:00-05:00,,buy,732.0,12.798666699727375,9368.624024200439,CLOSE_SHORT,9246.331025216681
2021-11-10 15:01:00-05:00,,buy,721.0,12.8100004196167,9236.01030254364,LONG,10.320722673041018
2021-11-10 15:02:00-05:00,,sell,721.0,12.792000007629394,9223.032005500792,CLOSE_LONG,9233.352728173833
2021-11-10 15:10:00-05:00,,sell,726.0,12.704999923706055,9223.829944610596,SHORT,18457.18267278443
2021-11-10 15:11:00-05:00,,buy,726.0,12.778666687011718,9277.312014770507,CLOSE_SHORT,9179.870658013924
2021-11-10 15:13:00-05:00,,sell,722.0,12.710000038146973,9176.620027542114,SHORT,18356.49068555604
2021-11-10 15:16:00-05:00,,buy,722.0,12.770000012715657,9219.940009180704,CLOSE_SHORT,9136.550676375336
2021-11-10 15:18:00-05:00,,sell,719.0,12.699999809265137,9131.299862861633,SHORT,18267.85053923697
2021-11-10 15:22:00-05:00,,buy,719.0,12.745333290100097,9163.89463558197,CLOSE_SHORT,9103.955903655
2021-11-10 15:25:00-05:00,,buy,712.0,12.774999618530273,9095.799728393555,LONG,8.156175261445242
2021-11-10 15:26:00-05:00,,sell,712.0,12.746333249409993,9075.389273579915,CLOSE_LONG,9083.54544884136
2021-11-10 15:27:00-05:00,,sell,715.0,12.699999809265137,9080.499863624573,SHORT,18164.045312465933
2021-11-10 15:31:00-05:00,,buy,715.0,12.751333236694336,9117.20326423645,CLOSE_SHORT,9046.842048229482
