,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10161.442286194693
2021-11-09 09:30:00-05:00,,sell,1094.0,9.279999732971191,10152.319707870483,SHORT,9.122578324209826
2021-11-09 09:36:00-05:00,,buy,1094.0,9.315000057220459,10190.610062599182,CLOSE_SHORT,10199.732640923392
2021-11-09 09:38:00-05:00,,sell,1111.0,9.175000190734863,10193.425211906433,SHORT,6.307429016958849
2021-11-09 09:39:00-05:00,,buy,1111.0,9.276250123977661,10305.913887739182,CLOSE_SHORT,10312.22131675614
2021-11-09 09:43:00-05:00,,sell,1125.0,9.15999984741211,10304.999828338623,SHORT,7.221488417517321
2021-11-09 11:22:00-05:00,,buy,1125.0,9.124666659037272,10265.249991416931,CLOSE_SHORT,10272.471479834448
2021-11-09 11:23:00-05:00,,buy,1112.0,9.229999542236328,10263.759490966797,LONG,8.711988867651598
2021-11-09 12:30:00-05:00,,sell,1112.0,9.158999888102214,10184.807875569662,CLOSE_LONG,10193.519864437314
2021-11-09 12:43:00-05:00,,sell,1115.0,9.140000343322754,10191.10038280487,SHORT,2.4194816324434214
2021-11-09 13:02:00-05:00,,buy,1115.0,9.169333267211915,10223.806592941284,CLOSE_SHORT,10226.226074573728
2021-11-09 13:03:00-05:00,,buy,1105.0,9.25,10221.25,LONG,4.976074573727601
2021-11-09 14:16:00-05:00,,sell,1105.0,9.28073336283366,10255.210365931194,CLOSE_LONG,10260.186440504922
2021-11-09 14:17:00-05:00,,buy,1102.0,9.305000305175781,10254.110336303711,LONG,6.07610420121091
2021-11-09 14:30:00-05:00,,sell,1102.0,9.295733388264974,10243.898193868,CLOSE_LONG,10249.974298069212
2021-11-09 14:34:00-05:00,,buy,1102.0,9.300000190734863,10248.60021018982,LONG,1.3740878793923912
2021-11-09 14:45:00-05:00,,sell,1102.0,9.285486729939779,10232.606376393636,CLOSE_LONG,10233.980464273029
2021-11-09 14:48:00-05:00,,sell,1106.0,9.25,10230.5,SHORT,3.4804642730287014
2021-11-09 15:12:00-05:00,,buy,1106.0,9.261333465576172,10243.034812927246,CLOSE_SHORT,10246.515277200275
2021-11-09 15:14:00-05:00,,sell,1110.0,9.225000381469727,10239.750423431396,SHORT,6.764853768878311
2021-11-09 15:17:00-05:00,,buy,1110.0,9.25433349609375,10272.310180664062,CLOSE_SHORT,10279.07503443294
2021-11-09 15:20:00-05:00,,buy,1100.0,9.34000015258789,10274.00016784668,LONG,5.074866586261123
2021-11-09 15:35:00-05:00,,sell,1100.0,9.263333511352538,10189.666862487793,CLOSE_LONG,10194.741729074054
