,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10000.0
2021-11-08 09:30:00-05:00,,sell,63.0,157.69549560546875,9934.816223144531,SHORT,19934.81622314453
2021-11-08 09:31:00-05:00,,buy,63.0,157.88275146484375,9946.613342285156,CLOSE_SHORT,9988.202880859375
2021-11-08 09:32:00-05:00,,sell,63.0,157.86500549316406,9945.495346069336,SHORT,19933.69822692871
2021-11-08 09:46:00-05:00,,buy,63.0,157.19554036458334,9903.319042968751,CLOSE_SHORT,10030.37918395996
2021-11-08 09:47:00-05:00,,sell,63.0,156.97500610351562,9889.425384521484,SHORT,19919.804568481442
2021-11-08 09:48:00-05:00,,buy,63.0,157.100873819987,9897.35505065918,CLOSE_SHORT,10022.449517822262
2021-11-08 09:49:00-05:00,,buy,63.0,157.11000061035156,9897.930038452148,LONG,124.51947937011391
2021-11-08 10:04:00-05:00,,sell,63.0,157.55713399251303,9926.09944152832,CLOSE_LONG,10050.618920898434
2021-11-08 10:05:00-05:00,,sell,63.0,157.21499633789062,9904.54476928711,SHORT,19955.163690185545
2021-11-08 10:14:00-05:00,,buy,63.0,157.37186584472656,9914.427548217773,CLOSE_SHORT,10040.736141967773
2021-11-08 10:15:00-05:00,,buy,63.0,157.80999755859375,9942.029846191406,LONG,98.70629577636646
2021-11-08 10:30:00-05:00,,sell,63.0,157.83016662597657,9943.300497436525,CLOSE_LONG,10042.006793212891
2021-11-08 10:31:00-05:00,,buy,63.0,158.1300048828125,9962.190307617188,LONG,79.81648559570385
2021-11-08 10:38:00-05:00,,sell,63.0,158.00633341471354,9954.399005126952,CLOSE_LONG,10034.215490722656
2021-11-08 10:39:00-05:00,,sell,63.0,157.99000549316406,9953.370346069336,SHORT,19987.585836791994
2021-11-08 10:43:00-05:00,,buy,63.0,158.032666015625,9956.057958984376,CLOSE_SHORT,10031.527877807617
2021-11-08 10:44:00-05:00,,buy,63.0,158.17489624023438,9965.018463134766,LONG,66.50941467285156
