,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10211.001882934572
2021-11-09 09:30:00-05:00,,sell,63.0,160.49000549316406,10110.870346069336,SHORT,20321.872229003908
2021-11-09 09:40:00-05:00,,buy,63.0,162.37005615234375,10229.313537597656,CLOSE_SHORT,10092.558691406251
2021-11-09 09:43:00-05:00,,sell,62.0,160.5,9951.0,SHORT,20043.55869140625
2021-11-09 11:44:00-05:00,,buy,62.0,156.5716532389323,9707.442500813802,CLOSE_SHORT,10336.11619059245
2021-11-09 11:45:00-05:00,,buy,65.0,156.89999389648438,10198.499603271484,LONG,137.61658732096475
2021-11-09 12:06:00-05:00,,sell,65.0,156.40632019042968,10166.41081237793,CLOSE_LONG,10304.027399698894
2021-11-09 12:07:00-05:00,,sell,66.0,156.0,10296.0,SHORT,20600.027399698894
2021-11-09 12:10:00-05:00,,buy,66.0,156.2396464029948,10311.816662597656,CLOSE_SHORT,10288.210737101239
2021-11-09 12:11:00-05:00,,buy,65.0,156.89999389648438,10198.499603271484,LONG,89.71113382975454
2021-11-09 14:05:00-05:00,,sell,65.0,156.8473327636719,10195.076629638672,CLOSE_LONG,10284.787763468426
2021-11-09 14:16:00-05:00,,buy,65.0,157.5,10237.5,LONG,47.28776346842642
2021-11-09 14:36:00-05:00,,sell,65.0,157.08133239746093,10210.286605834961,CLOSE_LONG,10257.574369303387
2021-11-09 14:58:00-05:00,,buy,64.0,157.99000549316406,10111.3603515625,LONG,146.21401774088736
2021-11-09 15:05:00-05:00,,sell,64.0,157.15399983723958,10057.855989583333,CLOSE_LONG,10204.07000732422
2021-11-09 15:06:00-05:00,,sell,65.0,156.5,10172.5,SHORT,20376.57000732422
2021-11-09 15:36:00-05:00,,buy,65.0,156.51549886067707,10173.50742594401,CLOSE_SHORT,10203.062581380209
