,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10000.0
2021-11-08 09:30:00-05:00,,sell,3.0,2664.125,7992.375,SHORT,17992.375
2021-11-08 09:40:00-05:00,,buy,3.0,2643.637761896307,7930.913285688921,CLOSE_SHORT,10061.461714311079
2021-11-08 09:41:00-05:00,,sell,3.0,2637.945068359375,7913.835205078125,SHORT,17975.296919389206
2021-11-08 09:42:00-05:00,,buy,3.0,2643.3692720853364,7930.10781625601,CLOSE_SHORT,10045.189103133196
2021-11-08 09:43:00-05:00,,buy,3.0,2652.969970703125,7958.909912109375,LONG,2086.279191023821
2021-11-08 09:57:00-05:00,,sell,3.0,2674.768977864583,8024.306933593749,CLOSE_LONG,10110.58612461757
2021-11-08 09:59:00-05:00,,sell,3.0,2667.31005859375,8001.93017578125,SHORT,18112.51630039882
2021-11-08 10:07:00-05:00,,buy,3.0,2673.975341796875,8021.926025390625,CLOSE_SHORT,10090.590275008195
2021-11-08 10:08:00-05:00,,buy,3.0,2679.070068359375,8037.210205078125,LONG,2053.38006993007
2021-11-08 10:18:00-05:00,,sell,3.0,2674.664697265625,8023.994091796874,CLOSE_LONG,10077.374161726944
2021-11-08 10:19:00-05:00,,buy,3.0,2678.68994140625,8036.06982421875,LONG,2041.3043375081943
2021-11-08 10:23:00-05:00,,sell,3.0,2677.8591796875,8033.577539062499,CLOSE_LONG,10074.881876570693
2021-11-08 10:24:00-05:00,,sell,3.0,2673.965087890625,8021.895263671875,SHORT,18096.777140242568
2021-11-08 10:32:00-05:00,,buy,3.0,2675.107845052083,8025.323535156249,CLOSE_SHORT,10071.453605086319
2021-11-08 10:33:00-05:00,,sell,3.0,2667.4599609375,8002.3798828125,SHORT,18073.833487898817
2021-11-08 10:48:00-05:00,,buy,3.0,2658.255305989583,7974.765917968749,CLOSE_SHORT,10099.067569930068
2021-11-08 10:49:00-05:00,,buy,3.0,2657.6298828125,7972.8896484375,LONG,2126.177921492568
2021-11-08 10:58:00-05:00,,sell,3.0,2658.3586588541666,7975.0759765625,CLOSE_LONG,10101.253898055067
2021-11-08 10:59:00-05:00,,sell,3.0,2653.695068359375,7961.085205078125,SHORT,18062.339103133192
2021-11-08 11:29:00-05:00,,buy,3.0,2635.3120279947916,7905.936083984375,CLOSE_SHORT,10156.403019148816
2021-11-08 11:30:00-05:00,,sell,3.0,2634.27001953125,7902.81005859375,SHORT,18059.213077742566
2021-11-08 11:31:00-05:00,,buy,3.0,2634.552034505208,7903.656103515625,CLOSE_SHORT,10155.556974226942
2021-11-08 11:32:00-05:00,,buy,3.0,2634.699951171875,7904.099853515625,LONG,2251.4571207113167
2021-11-08 11:40:00-05:00,,sell,3.0,2632.854313151042,7898.562939453126,CLOSE_LONG,10150.020060164443
2021-11-08 11:41:00-05:00,,sell,3.0,2628.1201171875,7884.3603515625,SHORT,18034.380411726943
2021-11-08 11:57:00-05:00,,buy,3.0,2627.8083333333334,7883.425,CLOSE_SHORT,10150.955411726944
2021-11-08 12:00:00-05:00,,sell,3.0,2627.35498046875,7882.06494140625,SHORT,18033.020353133194
2021-11-08 12:23:00-05:00,,buy,3.0,2617.285986328125,7851.857958984376,CLOSE_SHORT,10181.162394148818
2021-11-08 12:24:00-05:00,,buy,3.0,2617.659912109375,7852.979736328125,LONG,2328.182657820693
2021-11-08 12:39:00-05:00,,sell,3.0,2622.554654947917,7867.66396484375,CLOSE_LONG,10195.846622664443
2021-11-08 12:40:00-05:00,,buy,3.0,2624.669921875,7874.009765625,LONG,2321.836857039443
2021-11-08 12:47:00-05:00,,sell,3.0,2624.749332682292,7874.247998046876,CLOSE_LONG,10196.08485508632
2021-11-08 12:48:00-05:00,,sell,3.0,2623.659912109375,7870.979736328125,SHORT,18067.064591414444
2021-11-08 13:00:00-05:00,,buy,3.0,2623.1829915364583,7869.548974609375,CLOSE_SHORT,10197.515616805069
2021-11-08 13:02:00-05:00,,sell,3.0,2622.5400390625,7867.6201171875,SHORT,18065.135733992567
2021-11-08 13:06:00-05:00,,buy,3.0,2622.858349609375,7868.575048828126,CLOSE_SHORT,10196.56068516444
2021-11-08 13:09:00-05:00,,sell,3.0,2621.4150390625,7864.2451171875,SHORT,18060.80580235194
2021-11-08 13:54:00-05:00,,buy,3.0,2603.9237141927083,7811.771142578125,CLOSE_SHORT,10249.034659773815
2021-11-08 13:55:00-05:00,,buy,3.0,2605.139892578125,7815.419677734375,LONG,2433.6149820394403
2021-11-08 14:12:00-05:00,,sell,3.0,2607.9946451822916,7823.983935546875,CLOSE_LONG,10257.598917586314
2021-11-08 14:13:00-05:00,,sell,3.0,2604.905029296875,7814.715087890625,SHORT,18072.31400547694
2021-11-08 14:16:00-05:00,,buy,3.0,2608.3340006510416,7825.002001953125,CLOSE_SHORT,10247.312003523813
2021-11-08 14:17:00-05:00,,buy,3.0,2609.030029296875,7827.090087890625,LONG,2420.2219156331885
2021-11-08 14:21:00-05:00,,sell,3.0,2609.284000651042,7827.852001953126,CLOSE_LONG,10248.073917586315
2021-11-08 14:22:00-05:00,,buy,3.0,2609.93994140625,7829.81982421875,LONG,2418.2540933675646
2021-11-08 14:24:00-05:00,,sell,3.0,2609.202001953125,7827.606005859376,CLOSE_LONG,10245.86009922694
2021-11-08 14:25:00-05:00,,sell,3.0,2606.2900390625,7818.8701171875,SHORT,18064.730216414442
2021-11-08 14:26:00-05:00,,buy,3.0,2608.6049967447916,7825.814990234375,CLOSE_SHORT,10238.915226180066
2021-11-08 14:27:00-05:00,,buy,3.0,2608.715087890625,7826.145263671875,LONG,2412.7699625081914
2021-11-08 14:52:00-05:00,,sell,3.0,2614.78701171875,7844.361035156249,CLOSE_LONG,10257.13099766444
2021-11-08 14:54:00-05:00,,buy,3.0,2614.9599609375,7844.8798828125,LONG,2412.2511148519407
2021-11-08 14:55:00-05:00,,sell,3.0,2614.89599609375,7844.68798828125,CLOSE_LONG,10256.93910313319
2021-11-08 14:56:00-05:00,,sell,3.0,2611.0,7833.0,SHORT,18089.93910313319
2021-11-08 14:59:00-05:00,,buy,3.0,2614.9083170572917,7844.724951171875,CLOSE_SHORT,10245.214151961316
2021-11-08 15:02:00-05:00,,buy,3.0,2630.0,7890.0,LONG,2355.214151961316
2021-11-08 15:26:00-05:00,,sell,3.0,2631.327848307292,7893.983544921875,CLOSE_LONG,10249.197696883191
2021-11-08 15:27:00-05:00,,sell,3.0,2630.06494140625,7890.19482421875,SHORT,18139.39252110194
2021-11-08 15:28:00-05:00,,buy,3.0,2630.779508463542,7892.338525390625,CLOSE_SHORT,10247.053995711316
2021-11-08 15:29:00-05:00,,buy,3.0,2633.22998046875,7899.68994140625,LONG,2347.364054305066
2021-11-08 15:38:00-05:00,,sell,3.0,2634.747835286458,7904.243505859375,CLOSE_LONG,10251.60756016444
