,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,9984.046169916786
2021-11-09 09:30:00-05:00,,sell,204.0,48.83000183105469,9961.320373535156,SHORT,19945.366543451943
2021-11-09 09:41:00-05:00,,buy,204.0,48.885000228881836,9972.540046691895,CLOSE_SHORT,9972.826496760048
2021-11-09 10:06:00-05:00,,buy,202.0,49.150001525878906,9928.300308227539,LONG,44.52618853250897
2021-11-09 10:23:00-05:00,,sell,202.0,49.093125343322754,9916.811319351196,CLOSE_LONG,9961.337507883705
2021-11-09 10:32:00-05:00,,buy,202.0,49.29999923706055,9958.59984588623,LONG,2.7376619974747882
2021-11-09 11:08:00-05:00,,sell,202.0,49.14500045776367,9927.290092468262,CLOSE_LONG,9930.027754465737
2021-11-09 11:15:00-05:00,,sell,202.0,49.060001373291016,9910.120277404785,SHORT,19840.14803187052
2021-11-09 12:09:00-05:00,,buy,202.0,49.1437868754069,9927.044948832194,CLOSE_SHORT,9913.103083038328
2021-11-09 12:10:00-05:00,,buy,201.0,49.25,9899.25,LONG,13.853083038327895
2021-11-09 12:33:00-05:00,,sell,201.0,49.15878677368164,9880.91614151001,CLOSE_LONG,9894.769224548338
2021-11-09 12:41:00-05:00,,buy,200.0,49.25,9850.0,LONG,44.76922454833766
2021-11-09 13:10:00-05:00,,sell,200.0,49.23133290608724,9846.266581217447,CLOSE_LONG,9891.035805765785
2021-11-09 13:18:00-05:00,,sell,201.0,49.099998474121094,9869.09969329834,SHORT,19760.135499064127
2021-11-09 14:17:00-05:00,,buy,201.0,48.83733342488607,9816.3040184021,CLOSE_SHORT,9943.831480662027
2021-11-09 14:18:00-05:00,,sell,203.0,48.77000045776367,9900.310092926025,SHORT,19844.14157358805
2021-11-09 14:19:00-05:00,,buy,203.0,48.81233342488607,9908.903685251873,CLOSE_SHORT,9935.237888336178
2021-11-09 14:22:00-05:00,,buy,203.0,48.81999969482422,9910.459938049316,LONG,24.777950286861596
2021-11-09 15:32:00-05:00,,sell,203.0,48.98433354695638,9943.819710032145,CLOSE_LONG,9968.597660319007
