,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,9944.577868909959
2021-11-11 09:30:00-05:00,,sell,995.0,9.984999656677246,9935.07465839386,SHORT,9.503210516098989
2021-11-11 09:46:00-05:00,,buy,995.0,9.977114268711635,9927.228697368077,CLOSE_SHORT,9936.731907884176
2021-11-11 09:57:00-05:00,,sell,997.0,9.962200164794922,9932.313564300537,SHORT,4.418343583638489
2021-11-11 10:03:00-05:00,,buy,997.0,9.97470006942749,9944.775969219207,CLOSE_SHORT,9949.194312802845
2021-11-11 10:09:00-05:00,,sell,997.0,9.970000267028809,9940.090266227722,SHORT,9.104046575122993
2021-11-11 14:51:00-05:00,,buy,997.0,9.964973386128744,9935.078465970357,CLOSE_SHORT,9944.18251254548
2021-11-11 14:56:00-05:00,,sell,998.0,9.960000038146973,9940.080038070679,SHORT,4.102474474801056
2021-11-11 15:10:00-05:00,,buy,998.0,9.96397336324056,9944.04541651408,CLOSE_SHORT,9948.147890988881
2021-11-11 15:19:00-05:00,,sell,998.0,9.961000442504883,9941.078441619873,SHORT,7.069449369007998
2021-11-11 15:20:00-05:00,,buy,998.0,9.964040056864421,9944.111976750693,CLOSE_SHORT,9951.181426119701
2021-11-11 15:26:00-05:00,,buy,998.0,9.970000267028809,9950.060266494751,LONG,1.121159624950451
2021-11-11 15:37:00-05:00,,sell,998.0,9.96413345336914,9944.2051864624,CLOSE_LONG,9945.326346087351
