,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10000.0
2021-11-08 09:30:00-05:00,,sell,6451.0,1.5499999523162842,9999.04969239235,SHORT,19999.04969239235
2021-11-08 09:32:00-05:00,,buy,6451.0,1.548699975013733,9990.663538813591,CLOSE_SHORT,10008.386153578758
2021-11-08 09:35:00-05:00,,buy,6416.0,1.5599000453948975,10008.318691253662,LONG,0.06746232509613037
2021-11-08 09:36:00-05:00,,sell,6416.0,1.5492199897766112,9939.795454406738,CLOSE_LONG,9939.862916731834
2021-11-08 09:37:00-05:00,,sell,6451.0,1.5406999588012695,9939.05543422699,SHORT,19878.918350958826
2021-11-08 09:38:00-05:00,,buy,6451.0,1.548114265714373,9986.88512812342,CLOSE_SHORT,9892.033222835405
2021-11-08 09:39:00-05:00,,sell,6502.0,1.5211999416351318,9890.842020511627,SHORT,19782.875243347033
2021-11-08 09:41:00-05:00,,buy,6502.0,1.543269979953766,10034.341409659386,CLOSE_SHORT,9748.533833687647
2021-11-08 09:46:00-05:00,,buy,6249.0,1.559999942779541,9748.439642429352,LONG,0.09419125829481345
2021-11-08 10:14:00-05:00,,sell,6249.0,1.5534399668375651,9707.446352767945,CLOSE_LONG,9707.54054402624
2021-11-08 10:15:00-05:00,,buy,6222.0,1.559999942779541,9706.319643974304,LONG,1.2209000519360416
2021-11-08 10:17:00-05:00,,sell,6222.0,1.5563599665959675,9683.67171216011,CLOSE_LONG,9684.892612212047
2021-11-08 10:20:00-05:00,,buy,6208.0,1.559999942779541,9684.47964477539,LONG,0.4129674366558902
2021-11-08 10:26:00-05:00,,sell,6208.0,1.5589732964833578,9678.106224568684,CLOSE_LONG,9678.51919200534
2021-11-08 10:31:00-05:00,,sell,6224.0,1.5549999475479126,9678.319673538208,SHORT,19356.83886554355
2021-11-08 10:33:00-05:00,,buy,6224.0,1.5585532983144124,9700.435728708902,CLOSE_SHORT,9656.403136834646
2021-11-08 10:47:00-05:00,,sell,6209.0,1.5549999475479126,9654.99467432499,SHORT,19311.397811159637
2021-11-08 10:51:00-05:00,,buy,6209.0,1.5591132958730063,9680.534454075496,CLOSE_SHORT,9630.863357084141
2021-11-08 10:55:00-05:00,,buy,6173.0,1.559999942779541,9629.879646778107,LONG,0.9837103060344816
2021-11-08 11:41:00-05:00,,sell,6173.0,1.5705333471298217,9694.90235183239,CLOSE_LONG,9695.886062138425
2021-11-08 11:42:00-05:00,,sell,6175.0,1.5700000524520874,9694.75032389164,SHORT,19390.636386030063
2021-11-08 12:20:00-05:00,,buy,6175.0,1.5695733547210693,9692.115465402603,CLOSE_SHORT,9698.52092062746
2021-11-08 12:31:00-05:00,,buy,6138.0,1.5800000429153442,9698.040263414383,LONG,0.48065721307648346
2021-11-08 13:20:00-05:00,,sell,6138.0,1.5720533370971679,9649.263383102416,CLOSE_LONG,9649.744040315492
2021-11-08 13:24:00-05:00,,sell,6142.0,1.5708999633789062,9648.467575073242,SHORT,19298.211615388733
2021-11-08 13:42:00-05:00,,buy,6142.0,1.5758000214894612,9678.56373198827,CLOSE_SHORT,9619.647883400463
2021-11-08 13:43:00-05:00,,buy,6097.0,1.5777000188827515,9619.237015128136,LONG,0.4108682723272068
2021-11-08 13:50:00-05:00,,sell,6097.0,1.5749800205230713,9602.653185129166,CLOSE_LONG,9603.064053401493
2021-11-08 13:55:00-05:00,,buy,6097.0,1.5750000476837158,9602.775290727615,LONG,0.28876267387749976
2021-11-08 14:03:00-05:00,,sell,6097.0,1.5752400159835815,9604.238377451897,CLOSE_LONG,9604.527140125774
2021-11-08 14:05:00-05:00,,buy,6078.0,1.5800000429153442,9603.240260839462,LONG,1.286879286311887
2021-11-08 14:16:00-05:00,,sell,6078.0,1.5750600258509317,9573.214837121963,CLOSE_LONG,9574.501716408275
2021-11-08 14:17:00-05:00,,buy,6059.0,1.5800000429153442,9573.22026002407,LONG,1.2814563842039206
2021-11-08 14:20:00-05:00,,sell,6059.0,1.5780066967010498,9561.14257531166,CLOSE_LONG,9562.424031695864
2021-11-08 14:22:00-05:00,,sell,6090.0,1.5700000524520874,9561.300319433212,SHORT,19123.724351129076
2021-11-08 14:53:00-05:00,,buy,6090.0,1.5769800345102947,9603.808410167694,CLOSE_SHORT,9519.915940961382
2021-11-08 14:56:00-05:00,,buy,5987.0,1.590000033378601,9519.330199837685,LONG,0.5857411236975167
2021-11-08 15:36:00-05:00,,sell,5987.0,1.5944933573404947,9546.231730397541,CLOSE_LONG,9546.817471521239
