,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,9928.348201849347
2021-11-09 09:30:00-05:00,,sell,1635.0,6.070000171661377,9924.450280666351,SHORT,19852.798482515696
2021-11-09 09:36:00-05:00,,buy,1635.0,6.114500045776367,9997.20757484436,CLOSE_SHORT,9855.590907671336
2021-11-09 09:39:00-05:00,,sell,1614.0,6.105000019073486,9853.470030784607,SHORT,19709.060938455943
2021-11-09 09:42:00-05:00,,buy,1614.0,6.1234999895095825,9883.328983068466,CLOSE_SHORT,9825.731955387477
2021-11-09 09:45:00-05:00,,sell,1609.0,6.105000019073486,9822.94503068924,SHORT,19648.676986076716
2021-11-09 13:39:00-05:00,,buy,1609.0,6.0876799583435055,9795.0770529747,CLOSE_SHORT,9853.599933102016
2021-11-09 13:43:00-05:00,,buy,1618.0,6.088799953460693,9851.678324699402,LONG,1.921608402613856
2021-11-09 14:22:00-05:00,,sell,1618.0,6.084259986877441,9844.3326587677,CLOSE_LONG,9846.254267170314
2021-11-09 14:28:00-05:00,,buy,1616.0,6.089700222015381,9840.955558776855,LONG,5.298708393458583
2021-11-09 15:08:00-05:00,,sell,1616.0,6.087700017293295,9837.723227945964,CLOSE_LONG,9843.021936339423
2021-11-09 15:09:00-05:00,,sell,1618.0,6.079999923706055,9837.439876556396,SHORT,19680.461812895817
