,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,9046.842048229482
2021-11-11 09:30:00-05:00,,sell,710.0,12.729999542236328,9038.299674987793,SHORT,18085.141723217275
2021-11-11 09:41:00-05:00,,buy,710.0,12.849999904632568,9123.499932289124,CLOSE_SHORT,8961.641790928152
2021-11-11 09:43:00-05:00,,sell,705.0,12.699999809265137,8953.499865531921,SHORT,17915.141656460073
2021-11-11 10:00:00-05:00,,buy,705.0,12.740833123524984,8982.287352085114,CLOSE_SHORT,8932.85430437496
2021-11-11 10:04:00-05:00,,sell,707.0,12.630000114440918,8929.410080909729,SHORT,17862.26438528469
2021-11-11 10:45:00-05:00,,buy,707.0,12.568333307902018,8885.811648686726,CLOSE_SHORT,8976.452736597963
2021-11-11 10:49:00-05:00,,sell,715.0,12.539999961853027,8966.099972724915,SHORT,17942.552709322877
2021-11-11 10:54:00-05:00,,buy,715.0,12.536666679382325,8963.716675758362,CLOSE_SHORT,8978.836033564516
2021-11-11 10:57:00-05:00,,sell,718.0,12.5,8975.0,SHORT,17953.836033564516
2021-11-11 11:10:00-05:00,,buy,718.0,12.55199998219808,9012.33598721822,CLOSE_SHORT,8941.500046346295
2021-11-11 11:19:00-05:00,,sell,721.0,12.399999618530273,8940.399724960327,SHORT,17881.89977130662
2021-11-11 11:31:00-05:00,,buy,721.0,12.484666633605958,9001.444642829896,CLOSE_SHORT,8880.455128476724
2021-11-11 11:33:00-05:00,,sell,711.0,12.479999542236328,8873.27967453003,SHORT,17753.73480300675
2021-11-11 11:34:00-05:00,,buy,711.0,12.48799991607666,8878.967940330505,CLOSE_SHORT,8874.766862676246
2021-11-11 11:35:00-05:00,,buy,706.0,12.569999694824219,8874.419784545898,LONG,0.3470781303476542
2021-11-11 12:20:00-05:00,,sell,706.0,12.522066815694172,8840.579171880087,CLOSE_LONG,8840.926250010434
2021-11-11 12:34:00-05:00,,buy,697.0,12.670000076293945,8830.99005317688,LONG,9.936196833554277
2021-11-11 13:06:00-05:00,,sell,697.0,12.543300247192382,8742.68027229309,CLOSE_LONG,8752.616469126644
2021-11-11 13:23:00-05:00,,sell,697.0,12.541000366210938,8741.077255249023,SHORT,17493.69372437567
2021-11-11 13:40:00-05:00,,buy,697.0,12.550486946105957,8747.689401435853,CLOSE_SHORT,8746.004322939816
2021-11-11 14:07:00-05:00,,buy,693.0,12.609999656677246,8738.729762077332,LONG,7.274560862484577
