,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10000.0
2021-11-08 09:30:00-05:00,,sell,1002.0,9.979999542236328,9999.9595413208,SHORT,0.04045867919921875
2021-11-08 09:56:00-05:00,,buy,1002.0,9.975000063578287,9994.950063705444,CLOSE_SHORT,9994.990522384644
2021-11-08 10:15:00-05:00,,sell,1002.0,9.970100402832031,9990.040603637695,SHORT,4.949918746948242
2021-11-08 10:32:00-05:00,,buy,1002.0,9.972871644156319,9992.817387444631,CLOSE_SHORT,9997.76730619158
2021-11-08 10:42:00-05:00,,buy,1002.0,9.974100112915039,9994.04831314087,LONG,3.7189930507101963
2021-11-08 11:11:00-05:00,,sell,1002.0,9.972844653659397,9992.790342966717,CLOSE_LONG,9996.509336017427
2021-11-08 11:14:00-05:00,,buy,1001.0,9.979999542236328,9989.979541778564,LONG,6.529794238862451
2021-11-08 11:36:00-05:00,,sell,1001.0,9.97338350613912,9983.35688964526,CLOSE_LONG,9989.886683884122
2021-11-08 11:50:00-05:00,,buy,1000.0,9.979999542236328,9979.999542236328,LONG,9.887141647794124
2021-11-08 11:57:00-05:00,,sell,1000.0,9.973614420209612,9973.614420209613,CLOSE_LONG,9983.501561857407
2021-11-08 12:04:00-05:00,,buy,1000.0,9.979900360107422,9979.900360107422,LONG,3.6012017499851936
2021-11-08 12:10:00-05:00,,sell,1000.0,9.973366864522298,9973.366864522297,CLOSE_LONG,9976.968066272282
2021-11-08 12:18:00-05:00,,buy,999.0,9.979900360107422,9969.920459747314,LONG,7.047606524967705
2021-11-08 12:39:00-05:00,,sell,999.0,9.97502015431722,9965.045134162901,CLOSE_LONG,9972.092740687869
2021-11-08 12:46:00-05:00,,sell,999.0,9.975000381469727,9965.025381088257,SHORT,7.067359599612246
2021-11-08 12:48:00-05:00,,buy,999.0,9.975620142618816,9965.644522476197,CLOSE_SHORT,9972.71188207581
2021-11-08 12:52:00-05:00,,sell,999.0,9.975000381469727,9965.025381088257,SHORT,7.68650098755279
2021-11-08 13:12:00-05:00,,buy,999.0,9.975253550211589,9965.278296661378,CLOSE_SHORT,9972.96479764893
2021-11-08 13:24:00-05:00,,buy,999.0,9.979999542236328,9970.019542694092,LONG,2.945254954838674
2021-11-08 13:36:00-05:00,,sell,999.0,9.975600179036459,9965.624578857422,CLOSE_LONG,9968.56983381226
2021-11-08 13:39:00-05:00,,sell,999.0,9.975000381469727,9965.025381088257,SHORT,3.5444527240033494
2021-11-08 14:18:00-05:00,,buy,999.0,9.975380134582519,9965.404754447936,CLOSE_SHORT,9968.94920717194
2021-11-08 14:19:00-05:00,,sell,999.0,9.975000381469727,9965.025381088257,SHORT,3.9238260836827976
2021-11-08 15:42:00-05:00,,buy,999.0,9.956653277079264,9946.696623802185,CLOSE_SHORT,9950.620449885868
