,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10000.0
2021-11-08 09:30:00-05:00,,sell,1647.0,6.070000171661377,9997.290282726288,SHORT,19997.290282726288
2021-11-08 09:36:00-05:00,,buy,1647.0,6.077500104904175,10009.642672777176,CLOSE_SHORT,9987.647609949112
2021-11-08 09:43:00-05:00,,buy,1640.0,6.089700222015381,9987.108364105225,LONG,0.5392458438873291
2021-11-08 10:19:00-05:00,,sell,1640.0,6.0869777997334795,9982.643591562906,CLOSE_LONG,9983.182837406794
2021-11-08 10:31:00-05:00,,buy,1636.0,6.099899768829346,9979.43602180481,LONG,3.7468156019840535
2021-11-08 11:04:00-05:00,,sell,1636.0,6.088585717337472,9960.926233564105,CLOSE_LONG,9964.67304916609
2021-11-08 11:09:00-05:00,,sell,1641.0,6.070000171661377,9960.87028169632,SHORT,19925.54333086241
2021-11-08 11:25:00-05:00,,buy,1641.0,6.089346663157145,9992.617874240876,CLOSE_SHORT,9932.925456621533
2021-11-08 11:27:00-05:00,,buy,1628.0,6.099999904632568,9930.799844741821,LONG,2.125611879711869
2021-11-08 11:37:00-05:00,,sell,1628.0,6.089033317565918,9912.946240997315,CLOSE_LONG,9915.071852877027
2021-11-08 11:41:00-05:00,,sell,1629.0,6.084499835968018,9911.6502327919,SHORT,19826.722085668927
2021-11-08 15:10:00-05:00,,buy,1629.0,6.067300033569336,9883.63175468445,CLOSE_SHORT,9943.090330984478
2021-11-08 15:11:00-05:00,,buy,1638.0,6.070000171661377,9942.660281181335,LONG,0.4300498031425377
2021-11-08 15:48:00-05:00,,sell,1638.0,6.0610000928243,9927.918152046204,CLOSE_LONG,9928.348201849347
