,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10000.0
2021-11-08 09:30:00-05:00,,sell,5714.0,1.75,9999.5,SHORT,19999.5
2021-11-08 09:32:00-05:00,,buy,5714.0,1.724999984105428,9856.649909178415,CLOSE_SHORT,10142.850090821585
2021-11-08 09:33:00-05:00,,buy,5829.0,1.7400000095367432,10142.460055589676,LONG,0.39003523190876876
2021-11-08 09:37:00-05:00,,sell,5829.0,1.7268333236376445,10065.71144348383,CLOSE_LONG,10066.101478715738
2021-11-08 09:38:00-05:00,,sell,5921.0,1.7000000476837158,10065.700282335281,SHORT,20131.80176105102
2021-11-08 09:39:00-05:00,,buy,5921.0,1.7238750010728836,10207.063881352544,CLOSE_SHORT,9924.737879698478
2021-11-08 09:42:00-05:00,,sell,5803.0,1.7100000381469727,9923.130221366882,SHORT,19847.86810106536
2021-11-08 09:45:00-05:00,,buy,5803.0,1.725100004673004,10010.755327117442,CLOSE_SHORT,9837.112773947918
2021-11-08 09:46:00-05:00,,buy,5621.0,1.75,9836.75,LONG,0.36277394791795814
2021-11-08 09:51:00-05:00,,sell,5621.0,1.7286666711171468,9716.835358349483,CLOSE_LONG,9717.1981322974
2021-11-08 09:53:00-05:00,,buy,5616.0,1.7300000190734863,9715.6801071167,LONG,1.5180251807014429
2021-11-08 09:54:00-05:00,,sell,5616.0,1.7296733458836873,9713.845510482788,CLOSE_LONG,9715.36353566349
2021-11-08 09:56:00-05:00,,buy,5615.0,1.7300000190734863,9713.950107097626,LONG,1.4134285658637964
2021-11-08 09:58:00-05:00,,sell,5615.0,1.727946678797404,9702.420601447424,CLOSE_LONG,9703.834030013288
2021-11-08 09:59:00-05:00,,buy,5514.0,1.759600043296814,9702.434638738632,LONG,1.3993912746554997
2021-11-08 10:13:00-05:00,,sell,5514.0,1.7622333288192749,9716.954575109481,CLOSE_LONG,9718.353966384137
2021-11-08 10:15:00-05:00,,sell,5521.0,1.7599999904632568,9716.959947347641,SHORT,19435.313913731778
2021-11-08 10:33:00-05:00,,buy,5521.0,1.7515666723251342,9670.399597907066,CLOSE_SHORT,9764.914315824712
2021-11-08 10:34:00-05:00,,buy,5485.0,1.7799999713897705,9763.299843072891,LONG,1.614472751820358
2021-11-08 10:43:00-05:00,,sell,5485.0,1.7576333284378052,9640.618806481361,CLOSE_LONG,9642.233279233182
2021-11-08 10:44:00-05:00,,sell,5509.0,1.75,9640.75,SHORT,19282.98327923318
2021-11-08 10:45:00-05:00,,buy,5509.0,1.7622933228810629,9708.473915751776,CLOSE_SHORT,9574.509363481404
2021-11-08 10:46:00-05:00,,buy,5409.0,1.7698999643325806,9573.388907074928,LONG,1.1204564064755687
2021-11-08 10:51:00-05:00,,sell,5409.0,1.7706999778747559,9577.716180324554,CLOSE_LONG,9578.83663673103
2021-11-08 10:52:00-05:00,,sell,5442.0,1.7599999904632568,9577.919948101044,SHORT,19156.756584832074
2021-11-08 11:03:00-05:00,,buy,5442.0,1.7677066485087076,9619.859581184386,CLOSE_SHORT,9536.897003647688
2021-11-08 11:04:00-05:00,,buy,5372.0,1.774999976158142,9535.29987192154,LONG,1.597131726148291
2021-11-08 11:12:00-05:00,,sell,5372.0,1.765666651725769,9485.161253070832,CLOSE_LONG,9486.75838479698
2021-11-08 11:13:00-05:00,,sell,5451.0,1.7403000593185425,9486.375623345375,SHORT,18973.134008142355
2021-11-08 11:44:00-05:00,,buy,5451.0,1.752513329188029,9552.950157403946,CLOSE_SHORT,9420.18385073841
2021-11-08 11:45:00-05:00,,buy,5352.0,1.7599999904632568,9419.51994895935,LONG,0.6639017790585058
2021-11-08 11:46:00-05:00,,sell,5352.0,1.7508399963378907,9370.495660400391,CLOSE_LONG,9371.15956217945
2021-11-08 11:51:00-05:00,,sell,5385.0,1.7400000095367432,9369.900051355362,SHORT,18741.05961353481
2021-11-08 11:57:00-05:00,,buy,5385.0,1.7416866699854532,9378.982717871666,CLOSE_SHORT,9362.076895663144
2021-11-08 11:59:00-05:00,,buy,5334.0,1.7549999952316284,9361.169974565506,LONG,0.906921097637678
2021-11-08 12:12:00-05:00,,sell,5334.0,1.7476933320363364,9322.196233081819,CLOSE_LONG,9323.103154179456
2021-11-08 12:16:00-05:00,,sell,5388.0,1.7301000356674194,9321.778992176056,SHORT,18644.882146355514
2021-11-08 12:21:00-05:00,,buy,5388.0,1.7472466707229615,9414.165061855316,CLOSE_SHORT,9230.717084500198
2021-11-08 12:28:00-05:00,,buy,5281.0,1.7475999593734741,9229.075385451317,LONG,1.6416990488814918
2021-11-08 12:34:00-05:00,,sell,5281.0,1.747213331858317,9227.033605543771,CLOSE_LONG,9228.675304592653
2021-11-08 12:40:00-05:00,,buy,5243.0,1.7599999904632568,9227.679949998856,LONG,0.9953545937969466
2021-11-08 13:13:00-05:00,,sell,5243.0,1.7870333035786947,9369.415610663096,CLOSE_LONG,9370.410965256893
2021-11-08 13:15:00-05:00,,sell,5249.0,1.784999966621399,9369.464824795723,SHORT,18739.875790052618
2021-11-08 13:19:00-05:00,,buy,5249.0,1.788053297996521,9385.491761183739,CLOSE_SHORT,9354.384028868879
