,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10000.0
2021-11-08 09:30:00-05:00,,sell,784.0,12.741999626159668,9989.72770690918,SHORT,19989.72770690918
2021-11-08 09:31:00-05:00,,buy,784.0,12.793499946594238,10030.103958129883,CLOSE_SHORT,9959.623748779297
2021-11-08 09:50:00-05:00,,buy,767.0,12.969900131225586,9947.913400650024,LONG,11.710348129272461
2021-11-08 10:34:00-05:00,,sell,767.0,12.87637996673584,9876.18343448639,CLOSE_LONG,9887.893782615662
2021-11-08 11:10:00-05:00,,sell,769.0,12.850000381469727,9881.65029335022,SHORT,19769.54407596588
2021-11-08 12:19:00-05:00,,buy,769.0,12.870850086212158,9897.68371629715,CLOSE_SHORT,9871.860359668732
2021-11-08 12:31:00-05:00,,buy,764.0,12.920000076293945,9870.880058288574,LONG,0.9803013801574707
2021-11-08 12:42:00-05:00,,sell,764.0,12.873680114746094,9835.491607666016,CLOSE_LONG,9836.471909046173
2021-11-08 13:03:00-05:00,,buy,763.0,12.880000114440918,9827.44008731842,LONG,9.031821727752686
2021-11-08 13:29:00-05:00,,sell,763.0,12.872233470280966,9821.514137824377,CLOSE_LONG,9830.54595955213
2021-11-08 13:36:00-05:00,,sell,763.0,12.869999885559082,9819.80991268158,SHORT,19650.35587223371
2021-11-08 14:35:00-05:00,,buy,763.0,12.836993535359701,9794.626067479452,CLOSE_SHORT,9855.729804754259
2021-11-08 14:39:00-05:00,,buy,764.0,12.890000343322754,9847.960262298584,LONG,7.769542455675037
2021-11-08 14:40:00-05:00,,sell,764.0,12.831993548075358,9803.643070729573,CLOSE_LONG,9811.412613185248
2021-11-08 14:44:00-05:00,,sell,766.0,12.798999786376953,9804.033836364746,SHORT,19615.446449549992
2021-11-08 14:47:00-05:00,,buy,766.0,12.82893352508545,9826.963080215455,CLOSE_SHORT,9788.483369334537
2021-11-08 14:50:00-05:00,,buy,759.0,12.890000343322754,9783.51026058197,LONG,4.973108752566986
2021-11-08 15:01:00-05:00,,sell,759.0,12.828266843159993,9736.654533958434,CLOSE_LONG,9741.627642711
2021-11-08 15:12:00-05:00,,sell,759.0,12.819999694824219,9730.379768371582,SHORT,19472.00741108258
2021-11-08 15:22:00-05:00,,buy,759.0,12.838266817728679,9744.244514656068,CLOSE_SHORT,9727.762896426513
2021-11-08 15:23:00-05:00,,buy,752.0,12.920000076293945,9715.840057373047,LONG,11.922839053466305
2021-11-08 15:32:00-05:00,,sell,752.0,12.849933497111003,9663.149989827474,CLOSE_LONG,9675.07282888094
