,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,10218.839737751714
2021-11-12 09:30:00-05:00,,sell,1066.0,9.579999923706055,10212.279918670654,SHORT,6.559819081059686
2021-11-12 09:39:00-05:00,,buy,1066.0,9.585050106048584,10217.66341304779,CLOSE_SHORT,10224.22323212885
2021-11-12 09:57:00-05:00,,buy,1064.0,9.603799819946289,10218.443008422852,LONG,5.780223705998651
2021-11-12 10:08:00-05:00,,sell,1064.0,9.583475112915039,10196.817520141602,CLOSE_LONG,10202.5977438476
2021-11-12 10:13:00-05:00,,sell,1067.0,9.55720043182373,10197.53286075592,SHORT,5.064883091679803
2021-11-12 12:28:00-05:00,,buy,1067.0,9.526009039445357,10164.251645088196,CLOSE_SHORT,10169.316528179876
2021-11-12 12:50:00-05:00,,sell,1071.0,9.489999771118164,10163.789754867554,SHORT,5.526773312321893
2021-11-12 12:51:00-05:00,,buy,1071.0,9.523546072152945,10199.717843275803,CLOSE_SHORT,10205.244616588125
2021-11-12 13:16:00-05:00,,buy,1070.0,9.529999732971191,10197.099714279175,LONG,8.144902308949895
2021-11-12 15:00:00-05:00,,sell,1070.0,9.709540049235025,10389.207852681477,CLOSE_LONG,10397.352754990427
2021-11-12 15:05:00-05:00,,sell,1083.0,9.600000381469727,10396.800413131714,SHORT,0.5523418587126798
2021-11-12 15:51:00-05:00,,buy,1083.0,9.675906817118326,10479.007082939148,CLOSE_SHORT,10479.55942479786
