,Timestamp,Action,Amount,Price,TValue,Intent,Balance
0000-00-00 00:00:00-00:00,,NA,0,0,0,NA,9546.817471521239
2021-11-09 09:30:00-05:00,,sell,5966.0,1.600000023841858,9545.600142240524,SHORT,19092.41761376176
2021-11-09 09:38:00-05:00,,buy,5966.0,1.5825000405311584,9441.195241808891,CLOSE_SHORT,9651.22237195287
2021-11-09 09:40:00-05:00,,sell,6108.0,1.5800000429153442,9650.640262126923,SHORT,19301.862634079793
2021-11-09 10:31:00-05:00,,buy,6108.0,1.567953340212504,9577.059002017975,CLOSE_SHORT,9724.803632061818
2021-11-09 10:34:00-05:00,,buy,6170.0,1.5759999752044678,9723.919847011566,LONG,0.8837850502513902
2021-11-09 11:38:00-05:00,,sell,6170.0,1.5935266892115274,9832.059672435124,CLOSE_LONG,9832.943457485375
2021-11-09 11:39:00-05:00,,buy,6164.0,1.5950000286102295,9831.580176353455,LONG,1.3632811319203029
2021-11-09 12:00:00-05:00,,sell,6164.0,1.5934666951497396,9822.128708902996,CLOSE_LONG,9823.491990034916
2021-11-09 12:01:00-05:00,,sell,6217.0,1.5801000595092773,9823.482069969177,SHORT,19646.974060004093
2021-11-09 13:31:00-05:00,,buy,6217.0,1.5807467063268026,9827.502273233731,CLOSE_SHORT,9819.471786770362
2021-11-09 13:44:00-05:00,,buy,6176.0,1.589900016784668,9819.22250366211,LONG,0.24928310825271183
2021-11-09 14:25:00-05:00,,sell,6176.0,1.589726694424947,9818.152064768474,CLOSE_LONG,9818.401347876727
2021-11-09 14:26:00-05:00,,sell,6214.0,1.5800000429153442,9818.12026667595,SHORT,19636.521614552676
2021-11-09 14:30:00-05:00,,buy,6214.0,1.5894000291824342,9876.531781339647,CLOSE_SHORT,9759.989833213029
2021-11-09 14:43:00-05:00,,sell,6157.0,1.5850000381469727,9758.84523487091,SHORT,19518.83506808394
2021-11-09 15:07:00-05:00,,buy,6157.0,1.5870667060216268,9771.569708975156,CLOSE_SHORT,9747.265359108784
2021-11-09 15:11:00-05:00,,sell,6149.0,1.5850000381469727,9746.165234565735,SHORT,19493.43059367452
2021-11-09 15:14:00-05:00,,buy,6149.0,1.5862667083740234,9753.95398979187,CLOSE_SHORT,9739.47660388265
2021-11-09 15:18:00-05:00,,sell,6144.0,1.5850000381469727,9738.240234375,SHORT,19477.71683825765
2021-11-09 15:35:00-05:00,,buy,6144.0,1.5833600362141926,9728.1640625,CLOSE_SHORT,9749.55277575765
