,Action,Amount,Price,TValue,Intent
0000-00-00 00:00:00-00:00,NA,0,0,0,NA
2021-11-02 09:30:00-04:00,sell,1000,149.0399932861328,149039.9932861328,SHORT
2021-11-02 09:31:00-04:00,buy,1000,149.23499298095703,149234.99298095703,CLOSE_SHORT
2021-11-02 09:32:00-04:00,buy,1000,149.43809509277344,149438.09509277344,LONG
2021-11-02 09:34:00-04:00,sell,1000,149.25961608886718,149259.6160888672,CLOSE_LONG
2021-11-02 09:35:00-04:00,buy,1000,149.25999450683594,149259.99450683594,LONG
2021-11-02 09:50:00-04:00,sell,1000,150.08649393717448,150086.49393717447,CLOSE_LONG
2021-11-02 09:51:00-04:00,sell,1000,149.8249969482422,149824.9969482422,SHORT
2021-11-02 10:17:00-04:00,buy,1000,149.61688028971355,149616.88028971356,CLOSE_SHORT
2021-11-02 10:18:00-04:00,buy,1000,149.6649932861328,149664.9932861328,LONG
2021-11-02 10:19:00-04:00,sell,1000,149.60438537597656,149604.38537597656,CLOSE_LONG
2021-11-02 10:20:00-04:00,buy,1000,149.64999389648438,149649.99389648438,LONG
2021-11-02 10:47:00-04:00,sell,1000,150.58830668131512,150588.30668131512,CLOSE_LONG
2021-11-02 10:48:00-04:00,sell,1000,150.51499938964844,150514.99938964844,SHORT
2021-11-02 10:52:00-04:00,buy,1000,150.64417215983073,150644.17215983072,CLOSE_SHORT
2021-11-02 10:53:00-04:00,buy,1000,150.86000061035156,150860.00061035156,LONG
2021-11-02 11:05:00-04:00,sell,1000,150.76139221191406,150761.39221191406,CLOSE_LONG
2021-11-02 11:06:00-04:00,sell,1000,150.69000244140625,150690.00244140625,SHORT
2021-11-02 11:07:00-04:00,buy,1000,150.76785990397136,150767.85990397134,CLOSE_SHORT
2021-11-02 11:08:00-04:00,buy,1000,150.85000610351562,150850.00610351562,LONG
2021-11-02 11:09:00-04:00,sell,1000,150.77032063802082,150770.3206380208,CLOSE_LONG
2021-11-02 11:10:00-04:00,buy,1000,150.8699951171875,150869.9951171875,LONG
2021-11-02 11:15:00-04:00,sell,1000,150.78412679036458,150784.1267903646,CLOSE_LONG
2021-11-02 11:16:00-04:00,sell,1000,150.75999450683594,150759.99450683594,SHORT
2021-11-02 11:18:00-04:00,buy,1000,150.78679402669272,150786.79402669272,CLOSE_SHORT
2021-11-02 11:19:00-04:00,buy,1000,150.85989379882812,150859.89379882812,LONG
2021-11-02 11:22:00-04:00,sell,1000,150.82345377604167,150823.4537760417,CLOSE_LONG
2021-11-02 11:23:00-04:00,buy,1000,150.92999267578125,150929.99267578125,LONG
2021-11-02 11:36:00-04:00,sell,1000,151.1164784749349,151116.4784749349,CLOSE_LONG
2021-11-02 11:37:00-04:00,sell,1000,151.07000732421875,151070.00732421875,SHORT
2021-11-02 11:38:00-04:00,buy,1000,151.14916585286457,151149.16585286456,CLOSE_SHORT
2021-11-02 11:39:00-04:00,buy,1000,151.36000061035156,151360.00061035156,LONG
2021-11-02 11:50:00-04:00,sell,1000,151.34396158854167,151343.9615885417,CLOSE_LONG
2021-11-02 11:51:00-04:00,sell,1000,151.1300048828125,151130.0048828125,SHORT
2021-11-02 12:11:00-04:00,buy,1000,150.8037862141927,150803.78621419272,CLOSE_SHORT
2021-11-02 12:12:00-04:00,buy,1000,150.83999633789062,150839.99633789062,LONG
2021-11-02 12:30:00-04:00,sell,1000,150.9320515950521,150932.0515950521,CLOSE_LONG
2021-11-02 12:31:00-04:00,sell,1000,150.91000366210938,150910.00366210938,SHORT
2021-11-02 12:33:00-04:00,buy,1000,150.9519246419271,150951.9246419271,CLOSE_SHORT
2021-11-02 12:34:00-04:00,buy,1000,150.99400329589844,150994.00329589844,LONG
2021-11-02 12:59:00-04:00,sell,1000,151.404345703125,151404.345703125,CLOSE_LONG
2021-11-02 13:00:00-04:00,sell,1000,151.38009643554688,151380.09643554688,SHORT
2021-11-02 13:04:00-04:00,buy,1000,151.40267944335938,151402.67944335938,CLOSE_SHORT
2021-11-02 13:05:00-04:00,sell,1000,151.30999755859375,151309.99755859375,SHORT
2021-11-02 13:13:00-04:00,buy,1000,151.34552001953125,151345.52001953125,CLOSE_SHORT
2021-11-02 13:14:00-04:00,buy,1000,151.35989379882812,151359.89379882812,LONG
2021-11-02 13:16:00-04:00,sell,1000,151.34333394368488,151343.33394368488,CLOSE_LONG
2021-11-02 13:17:00-04:00,sell,1000,151.31500244140625,151315.00244140625,SHORT
2021-11-02 13:42:00-04:00,buy,1000,150.9586608886719,150958.66088867188,CLOSE_SHORT
2021-11-02 13:43:00-04:00,buy,1000,151.0050048828125,151005.0048828125,LONG
2021-11-02 13:45:00-04:00,sell,1000,150.95666097005207,150956.66097005206,CLOSE_LONG
2021-11-02 13:46:00-04:00,buy,1000,150.9906005859375,150990.6005859375,LONG
2021-11-02 13:53:00-04:00,sell,1000,150.9943603515625,150994.3603515625,CLOSE_LONG
2021-11-02 13:54:00-04:00,sell,1000,150.9550018310547,150955.0018310547,SHORT
2021-11-02 14:17:00-04:00,buy,1000,150.67484130859376,150674.84130859375,CLOSE_SHORT
2021-11-02 14:18:00-04:00,buy,1000,150.71499633789062,150714.99633789062,LONG
2021-11-02 14:22:00-04:00,sell,1000,150.65823364257812,150658.23364257812,CLOSE_LONG
2021-11-02 14:23:00-04:00,sell,1000,150.52499389648438,150524.99389648438,SHORT
2021-11-02 14:52:00-04:00,buy,1000,150.25072631835937,150250.72631835938,CLOSE_SHORT
2021-11-02 14:53:00-04:00,buy,1000,150.36000061035156,150360.00061035156,LONG
2021-11-02 15:07:00-04:00,sell,1000,150.35799458821614,150357.99458821616,CLOSE_LONG
2021-11-02 15:08:00-04:00,sell,1000,150.35499572753906,150354.99572753906,SHORT
2021-11-02 15:22:00-04:00,buy,1000,150.23299967447917,150232.9996744792,CLOSE_SHORT
2021-11-02 15:23:00-04:00,buy,1000,150.24989318847656,150249.89318847656,LONG
2021-11-02 15:25:00-04:00,sell,1000,150.21078084309895,150210.78084309894,CLOSE_LONG
2021-11-02 15:26:00-04:00,sell,1000,150.1649932861328,150164.9932861328,SHORT
2021-11-02 15:28:00-04:00,buy,1000,150.20025431315105,150200.25431315106,CLOSE_SHORT
2021-11-02 15:29:00-04:00,buy,1000,150.27499389648438,150274.99389648438,LONG
2021-11-02 15:30:00-04:00,sell,1000,150.1987538655599,150198.7538655599,CLOSE_LONG
